message,message_length,punct%
"Solve d Case : A Man Was Found Murdered On  &lt;DECIMAL&gt; . &lt;#&gt;  AfterNoon. 1,His wife called Police. 2,Police questioned everyone. 3,Wife: Sir,I was sleeping, when the murder took place. 4.Cook: I was cooking. 5.Gardener: I was picking vegetables. 6.House-Maid: I went 2 d post office. 7.Children: We went 2 play. 8.Neighbour: We went 2 a marriage. Police arrested d murderer Immediately. Who's It? Reply With Reason, If U r Brilliant.",372,11.3
So what do you guys do.,18,5.6000000000000005
Have you bookedthe hut? And also your time off? How are you by the way?,57,5.3
Near kalainar tv office.thenampet,30,3.3000000000000003
I wil be there with in  &lt;#&gt;  minutes. Got any space,45,13.3
Congratulations ur awarded 500 of CD vouchers or 125gift guaranteed & Free entry 2 100 wkly draw txt MUSIC to 87066,95,1.0999999999999999
Here got lots of hair dresser fr china.,32,3.1
"Hi. Wk been ok - on hols now! Yes on for a bit of a run. Forgot that i have hairdressers appointment at four so need to get home n shower beforehand. Does that cause prob for u?""",141,5.0
yay! finally lol. i missed our cinema trip last week :-(,46,10.9
Oh ok no prob..,12,16.7
Was gr8 to see that message. So when r u leaving? Congrats dear. What school and wat r ur plans.,77,5.2
Is toshiba portege m100 gd?,23,4.3
Ok. She'll be ok. I guess,20,15.0
What time should I tell my friend to be around?,38,2.6
Sindu got job in birla soft ..,24,8.3
I didn't get the second half of that message,36,2.8000000000000003
Been running but only managed 5 minutes and then needed oxygen! Might have to resort to the roller option!,88,2.3
Ok leave no need to ask,18,0.0
Nvm take ur time.,14,7.1
Lovely smell on this bus and it ain't tobacco... ,40,10.0
Hey what are you doing. Y no reply pa..,31,9.700000000000001
"Easy mate, * guess the quick drink was bit ambitious.",44,6.800000000000001
"Got what it takes 2 take part in the WRC Rally in Oz? U can with Lucozade Energy! Text RALLY LE to 61200 (25p), see packs or lucozade.co.uk/wrc & itcould be u!",128,7.8
The greatest test of courage on earth is to bear defeat without losing heart....gn tc,71,5.6000000000000005
"U can WIN £100 of Music Gift Vouchers every week starting NOW Txt the word DRAW to 87066 TsCs www.Idew.com SkillGame, 1Winaweek, age16. 150ppermessSubscription",136,3.6999999999999997
Wow so healthy. Old airport rd lor. Cant thk of anything else. But i'll b bathing my dog later.,77,6.5
You've always been the brainy one.,29,6.9
How u doin baby girl ?? hope u are okay every time I call ure phone is off! I miss u get in touch,74,4.1000000000000005
"As I entered my cabin my PA said, '' Happy B'day Boss !!''. I felt special. She askd me 4 lunch. After lunch she invited me to her apartment. We went there.",125,10.4
Yup ok...,8,37.5
"Awesome, I'll see you in a bit",24,8.3
HELLO PEACH! MY CAKE TASTS LUSH!,27,7.3999999999999995
What about this one then.,21,4.8
There's someone here that has a year  &lt;#&gt;  toyota camry like mr olayiwola's own. Mileage is  &lt;#&gt; k.its clean but i need to know how much will it sell for. If i can raise the dough for it how soon after landing will it sell. Holla back.,198,8.6
You made my day. Do have a great day too.,32,6.2
Ok but knackered. Just came home and went to sleep! Not good at this full time work lark.,72,4.2
Mum not going robinson already.,27,3.6999999999999997
"Cool, want me to go to kappa or should I meet you outside mu",47,2.1
Hmm thinking lor...,17,17.599999999999998
No need to ke qi... Ü too bored izzit y suddenly thk of this...,50,12.0
"Thanks for your ringtone order, reference number X49. Your mobile will be charged 4.50. Should your tone not arrive please call customer services 09065989182. From: [colour=red]text[/colour]TXTstar",172,7.000000000000001
Dunno da next show aft 6 is 850. Toa payoh got 650.,40,5.0
Am i that much bad to avoid like this?,30,3.3000000000000003
"idc get over here, you are not weaseling your way out of this shit twice in a row",64,1.6
"Eerie Nokia tones 4u, rply TONE TITLE to 8007 eg TONE DRACULA to 8007 Titles: GHOST, ADDAMSFA, MUNSTERS, EXORCIST, TWILIGHT www.getzed.co.uk POBox36504W45WQ 150p ",139,6.5
"Although i told u dat i'm into baig face watches now but i really like e watch u gave cos it's fr u. Thanx 4 everything dat u've done today, i'm touched...",124,7.3
"Say this slowly.? GOD,I LOVE YOU &amp; I NEED YOU,CLEAN MY HEART WITH YOUR BLOOD.Send this to Ten special people &amp; u c miracle tomorrow, do it,pls,pls do it...",135,11.1
That seems unnecessarily hostile,29,0.0
I have a sore throat. It's scratches when I talk,39,5.1
Reverse is cheating. That is not mathematics.,39,5.1
Thank you princess! You are so sexy...,32,12.5
Ü called dad oredi...,18,16.7
"Ha. You don‘t know either. I did a a clever but simple thing with pears the other day, perfect for christmas.",89,4.5
"Congratulations! Thanks to a good friend U have WON the £2,000 Xmas prize. 2 claim is easy, just call 08718726978 NOW! Only 10p per minute. BT-national-rate",131,6.1
Was the actual exam harder than NBME,30,0.0
All e best 4 ur driving tmr :-),24,12.5
Thanks love. But am i doing torch or bold.,34,5.8999999999999995
Call FREEPHONE 0800 542 0578 now!,28,3.5999999999999996
How many times i told in the stage all use to laugh. You not listen aha.,57,3.5000000000000004
Ok,2,0.0
I‘m going to try for 2 months ha ha only joking,37,0.0
They don't put that stuff on the roads to keep it from getting slippery over there?,68,2.9000000000000004
Nope wif my sis lor... Aft bathing my dog then i can bathe... Looks like it's going 2 rain soon.,77,10.4
Get ur 1st RINGTONE FREE NOW! Reply to this msg with TONE. Gr8 TOP 20 tones to your phone every week just £1.50 per wk 2 opt out send STOP 08452810071 16,122,2.5
"SYMPTOMS when U are in love: ""1.U like listening songs 2.U get stopped where u see the name of your beloved 3.U won't get angry when your",111,5.4
Wherre's my boytoy ? :-(,20,25.0
"No idea, I guess we'll work that out an hour after we're supposed to leave since as usual nobody has any interest in figuring shit out before the last second",128,2.3
I came hostel. I m going to sleep. Plz call me up before class. Hrishi.,57,7.000000000000001
I know you are serving. I mean what are you doing now.,43,4.7
I'm e person who's doing e sms survey...,33,15.2
"Oops, I'll let you know when my roommate's done",39,7.7
"Do you ever notice that when you're driving, anyone going slower than you is an idiot and everyone driving faster than you is a maniac?",111,2.7
About  &lt;#&gt; bucks. The banks fees are fixed. Better to call the bank and find out.,71,11.3
Dude got a haircut. Now its breezy up there,35,2.9000000000000004
Miss call miss call khelate kintu opponenter miss call dhorte lage. Thats d rule. One with great phone receiving quality wins.,106,2.8000000000000003
K.i will send in  &lt;#&gt;  min:),27,29.599999999999998
No da..today also i forgot..,24,16.7
"I call you later, don't have network. If urgnt, sms me.",45,11.1
K...k:)why cant you come here and search job:),39,17.9
Change windows logoff sound..,26,7.7
"Oh really? perform, write a paper, go to a movie AND be home by midnight, huh?",63,7.9
Ok lor ü reaching then message me.,28,3.5999999999999996
Dad says hurry the hell up,21,0.0
If you hear a loud scream in about &lt;#&gt; minutes its cause my Gyno will be shoving things up me that don't belong :/,97,8.200000000000001
"Ya, told..she was asking wats matter?",32,12.5
"Don't Think About ""What u Have Got"" Think About ""How to Use It That You Have Got"" gooD ni8",72,6.9
Oh ok wait 4 me there... My lect havent finish,37,8.1
Ü say until like dat i dun buy ericsson oso cannot oredi lar...,51,5.8999999999999995
In work now. Going have in few min.,28,7.1
But I'm on a diet. And I ate 1 too many slices of pizza yesterday. Ugh I'm ALWAYS on a diet.,72,6.9
"Watching cartoon, listening music &amp; at eve had to go temple &amp; church.. What about u?",77,10.4
I'm aight. Wat's happening on your side.,34,11.799999999999999
will you like to be spoiled? :),25,12.0
"Final Chance! Claim ur £150 worth of discount vouchers today! Text YES to 85023 now! SavaMob, member offers mobile! T Cs SavaMob POBOX84, M263UZ. £3.00 Subs 16",133,6.0
"As usual..iam fine, happy &amp; doing well..:)",40,22.5
"Thanks for your ringtone order, ref number K718. Your mobile will be charged £4.50. Should your tone not arrive please call customer services on 09065069120",132,3.0
"It's fine, imma get a drink or somethin. Want me to come find you?",53,7.5
Free 1st week entry 2 TEXTPOD 4 a chance 2 win 40GB iPod or £250 cash every wk. Txt POD to 84128 Ts&Cs www.textpod.net custcare 08712405020.,115,4.3
Had your mobile 11 months or more? U R entitled to Update to the latest colour mobiles with camera for Free! Call The Mobile Update Co FREE on 08002986030,126,1.6
At home watching tv lor.,20,5.0
What happened in interview?,24,4.2
Gd luck 4 ur exams :-),17,17.599999999999998
"Hello baby, did you get back to your mom's ? Are you setting up the computer now ? Filling your belly ? How goes it loverboy ? I miss you already ... *sighs*",125,8.799999999999999
Babes I think I got ur brolly I left it in English wil bring it in 2mrw 4 u luv Franxx,66,0.0
… and don‘t worry we‘ll have finished by march … ish!,43,2.3
Meeting u is my work. . . Tel me when shall i do my work tomorrow,50,6.0
"Im cool ta luv but v.tired 2 cause i have been doin loads of planning all wk, we have got our social services inspection at the nursery! Take care & spk sn x.",127,3.9
I don't know but I'm raping dudes at poker,34,5.8999999999999995
dating:i have had two of these. Only started after i sent a text to talk sport radio last week. Any connection do you think or coincidence?,114,3.5000000000000004
Hi missed your Call and my mumHas beendropping red wine all over theplace! what is your adress?,79,2.5
I was slept that time.you there?,27,7.3999999999999995
Just got outta class gonna go gym.,28,3.5999999999999996
"K, wen ur free come to my home and also tel vikky i hav sent mail to him also.. Better come evening il be free today aftr 6pm..:-)",103,7.8
Dude just saw a parked car with its sunroof popped up. Sux,47,2.1
No objection. My bf not coming.,26,7.7
on hen night. Going with a swing,26,3.8
HIYA COMIN 2 BRISTOL 1 ST WEEK IN APRIL. LES GOT OFF + RUDI ON NEW YRS EVE BUT I WAS SNORING.THEY WERE DRUNK! U BAK AT COLLEGE YET? MY WORK SENDS INK 2 BATH.,123,4.9
"2 celebrate my bday, y else?",24,8.3
There is os called ubandu which will run without installing in hard disk...you can use that os to copy the important files in system and give it to repair shop..,132,3.8
Hi dis is yijue i would be happy to work wif ü all for gek1510...,51,5.8999999999999995
hope things went well at 'doctors' ;) reminds me i still need 2go.did u c d little thing i left in the lounge?,88,6.800000000000001
Better. Made up for Friday and stuffed myself like a pig yesterday. Now I feel bleh. But at least its not writhing pain kind of bleh.,108,3.6999999999999997
Are you going to write ccna exam this week??,36,5.6000000000000005
"Honeybee Said: *I'm d Sweetest in d World* God Laughed &amp; Said: *Wait,U Havnt Met d Person Reading This Msg* MORAL: Even GOD Can Crack Jokes! GM+GN+GE+GN:)",132,12.9
What Today-sunday..sunday is holiday..so no work..,45,15.6
Now press conference da:),22,9.1
Dunno y u ask me.,13,7.7
Ü thk of wat to eat tonight.,22,4.5
Ur cash-balance is currently 500 pounds - to maximize ur cash-in now send GO to 86688 only 150p/meg. CC: 08718720201 HG/Suite342/2lands Row/W1j6HL,125,7.199999999999999
S s..first time..dhoni rocks...,28,25.0
Pls give her prometazine syrup. 5mls then  &lt;#&gt; mins later feed.,58,12.1
Congratulations ur awarded either £500 of CD gift vouchers & Free entry 2 our £100 weekly draw txt MUSIC to 87066 TnCs www.Ldew.com 1 win150ppmx3age16,126,2.4
"I can't, I don't have her number!",27,14.799999999999999
I don wake since. I checked that stuff and saw that its true no available spaces. Pls call the embassy or send a mail to them.,101,3.0
Hey mate. Spoke to the mag people. We‘re on.  the is deliver by the end of the month. Deliver on the 24th sept. Talk later. ,98,6.1
Misplaced your number and was sending texts to your old number. Wondering why i've not heard from you this year. All the best in your mcat. Got this number from my atlanta friends,147,2.7
"Yeah go on then, bored and depressed sittin waitin for phone to ring... Hope the wind drops though, scary",87,5.7
Gudnite....tc...practice going on,31,22.6
Ok ill tell the company,19,0.0
PLEASSSSSSSEEEEEE TEL ME V AVENT DONE SPORTSx,39,0.0
Good night my dear.. Sleepwell&amp;Take care,39,10.299999999999999
Lol I know! Hey someone did a great inpersonation of flea on the forums. I love it!,67,4.5
Oh k.i think most of wi and nz players unsold.,37,5.4
Message from . I am at Truro Hospital on ext. You can phone me here. as I have a phone by my side,75,4.0
Guess what! Somebody you know secretly fancies you! Wanna find out who it is? Give us a call on 09065394514 From Landline DATEBox1282EssexCM61XN 150p/min 18,132,3.0
<Forwarded from 21870000>Hi - this is your Mailbox Messaging SMS alert. You have 40 matches. Please call back on 09056242159 to retrieve your messages and matches cc100p/min,147,4.1000000000000005
ROMCAPspam Everyone around should be responding well to your presence since you are so warm and outgoing. You are bringing in a real breath of sunshine.,127,1.6
"HI HUN! IM NOT COMIN 2NITE-TELL EVERY1 IM SORRY 4 ME, HOPE U AVA GOODTIME!OLI RANG MELNITE IFINK IT MITE B SORTED,BUT IL EXPLAIN EVERYTHIN ON MON.L8RS.x",126,5.6000000000000005
Take some small dose tablet for fever,31,0.0
Whens your radio show?,19,5.3
"Edison has rightly said, ""A fool can ask more questions than a wise man can answer"" Now you know why all of us are speechless during ViVa.. GM,GN,GE,GNT:-)",128,8.6
If I was I wasn't paying attention,28,3.5999999999999996
Aiyo please ü got time meh.,22,4.5
8007 FREE for 1st week! No1 Nokia tone 4 ur mob every week just txt NOKIA to 8007 Get txting and tell ur mates www.getzed.co.uk POBox 36504 W4 5WQ norm 150p/tone 16+,134,4.5
I'm glad. You are following your dreams.,34,8.799999999999999
Pls give her the food preferably pap very slowly with loads of sugar. You can take up to an hour to give it. And then some water. Very very slowly.,118,3.4000000000000004
"Hey babe, how's it going ? Did you ever figure out where your going for New Years ?",66,6.1
If he started searching he will get job in few days.he have great potential and talent.,72,2.8000000000000003
Back in brum! Thanks for putting us up and keeping us all and happy. See you soon ,65,3.1
Ujhhhhhhh computer shipped out with address to sandiago and parantella lane. Wtf. Poop.,75,4.0
"Only just got this message, not ignoring you. Yes, i was. Shopping that is",61,6.6000000000000005
Mobile Club: Choose any of the top quality items for your mobile. 7cfca1a,61,3.3000000000000003
Just sing HU. I think its also important to find someone female that know the place well preferably a citizen that is also smart to help you navigate through. Even things like choosing a phone plan require guidance. When in doubt ask especially girls.,208,1.9
Even u dont get in trouble while convincing..just tel him once or twice and just tel neglect his msgs dont c and read it..just dont reply,112,3.5999999999999996
You give us back my id proof and  &lt;#&gt;  rs. We wont allow you to work. We will come to your home within days,88,8.0
"Probably not, still going over some stuff here",39,2.6
You should know now. So how's anthony. Are you bringing money. I've school fees to pay and rent and stuff like that. Thats why i need your help. A friend in need....|,135,8.9
Hmmm:)how many players selected?,29,10.299999999999999
Lol they were mad at first but then they woke up and gave in.,48,2.1
Gud ni8.swt drms.take care,23,8.7
Missed your call cause I was yelling at scrappy. Miss u. Can't wait for u to come home. I'm so lonely today.,87,6.9
"You have come into my life and brought the sun ..Shiny down on me, warming my heart. Putting a constant smile on my face ... Making me feel loved and cared for",128,5.5
You all ready for * big day tomorrow?,30,6.7
Yes. Last  practice,16,6.2
Hey leave it. not a big deal:-) take care.,34,14.7
I‘ll have a look at the frying pan in case it‘s cheap or a book perhaps. No that‘s silly a frying pan isn‘t likely to be a book,100,1.0
Well welp is sort of a semiobscure internet thing,41,0.0
Yes! How is a pretty lady like you single?,34,5.8999999999999995
is your hamster dead? Hey so tmr i meet you at 1pm orchard mrt? ,50,4.0
Joy's father is John. Then John is the ____ of Joy's father. If u ans ths you hav  &lt;#&gt;  IQ. Tis s IAS question try to answer.,103,14.6
The current leading bid is 151. To pause this auction send OUT. Customer Care: 08718726270,76,3.9
It does it on its own. Most of the time it fixes my spelling. But sometimes it gets a completely diff word. Go figure,94,3.2
Hello beautiful r u ok? I've kinda ad a row wiv and he walked out the pub?? I wanted a night wiv u Miss u ,81,4.9
No. It's not pride. I'm almost  &lt;#&gt;  years old and shouldn't be takin money from my kid. You're not supposed to have to deal with this stuff. This is grownup stuff--why i don't tell you.,156,10.9
"G says you never answer your texts, confirm/deny",41,4.9
Natalja (25/F) is inviting you to be her friend. Reply YES-440 or NO-440 See her: www.SMS.ac/u/nat27081980 STOP? Send STOP FRND to 62468,115,10.4
"Aight, see you in a bit",18,5.6000000000000005
You have 1 new message. Please call 08712400200.,41,4.9
This is the 2nd time we have tried to contact u. U have won the £1450 prize to claim just call 09053750005 b4 310303. T&Cs/stop SMS 08718725756. 140ppm,124,4.0
"I'm not coming over, do whatever you want",34,5.8999999999999995
Well thats nice. Too bad i cant eat it,30,3.3000000000000003
Okie... Thanx...,15,40.0
"Awesome, text me when you're restocked",33,6.1
Sorry i missed your call. Can you please call back.,42,4.8
"Congrats! 1 year special cinema pass for 2 is yours. call 09061209465 now! C Suprman V, Matrix3, StarWars3, etc all 4 FREE! bx420-ip4-5we. 150pm. Dont miss out! ",134,9.0
Do you want a New Nokia 3510i Colour Phone Delivered Tomorrow? With 200 FREE minutes to any mobile + 100 FREE text + FREE camcorder Reply or Call 08000930705,129,2.3
Today iZ Yellow rose day. If u love my frndship give me 1 misscall &amp; send this to ur frndZ &amp; See how many miss calls u get. If u get 6missed U marry ur Lover.,131,5.3
WOT U WANNA DO THEN MISSY?,21,4.8
Hi! This is Roger from CL. How are you?,31,9.700000000000001
Well. You know what i mean. Texting,29,6.9
Ok i go change also...,18,16.7
"Hi Chikku, send some nice msgs",25,4.0
Tension ah?what machi?any problem?,31,9.700000000000001
"Nah can't help you there, I've never had an iphone",41,7.3
Good night. Am going to sleep.,25,8.0
Do you want a New Nokia 3510i colour phone DeliveredTomorrow? With 300 free minutes to any mobile + 100 free texts + Free Camcorder reply or call 08000930705,130,2.3
Dont show yourself. How far. Put new pictures up on facebook.,51,5.8999999999999995
"Since when, which side, any fever, any vomitin.",40,10.0
Yup,3,0.0
Send me your resume:-),19,15.8
U r too much close to my heart. If u go away i will be shattered. Plz stay with me.,64,4.7
She left it very vague. She just said she would inform the person in accounting about the delayed rent and that i should discuss with the housing agency about my renting another place. But checking online now and all places around usc are  &lt;#&gt;  and up,210,3.3000000000000003
Change again... It's e one next to escalator...,40,17.5
ALRITE SAM ITS NIC JUST CHECKIN THAT THIS IS UR NUMBER-SO IS IT?T.B*,56,7.1
"FreeMsg Why haven't you replied to my text? I'm Randy, sexy, female and live local. Luv to hear from u. Netcollex Ltd 08700621170150p per msg reply Stop to end",131,5.3
Ok I'm gonna head up to usf in like fifteen minutes,41,2.4
How come?,8,12.5
Don't b floppy... b snappy & happy! Only gay chat service with photo upload call 08718730666 (10p/min). 2 stop our texts call 08712460324,115,8.7
I tot it's my group mate... Lucky i havent reply... Wat time do ü need to leave... ,66,15.2
Huh i cant thk of more oredi how many pages do we have?,43,2.3
"That's fine, I'll bitch at you about it later then",41,7.3
"Have a lovely night and when you wake up to see this message, i hope you smile knowing all is as should be. Have a great morning",102,2.0
I see the letter B on my car,21,0.0
"Orange brings you ringtones from all time Chart Heroes, with a free hit each week! Go to Ringtones & Pics on wap. To stop receiving these tips reply STOP.",126,4.0
How's ur paper?,13,15.4
U are subscribed to the best Mobile Content Service in the UK for £3 per ten days until you send STOP to 83435. Helpline 08706091795.,109,1.7999999999999998
WINNER!! As a valued network customer you have been selected to receivea £900 prize reward! To claim call 09061701461. Claim code KL341. Valid 12 hours only.,132,4.5
Nice.nice.how is it working?,25,12.0
Sir send to group mail check it.,26,3.8
Pls send me the correct name da.,26,3.8
I'm okay. Chasing the dream. What's good. What are you doing next.,55,10.9
Can do lor...,11,27.3
"I prefer my free days... Tues, wed, fri oso can... Ü ask those workin lor...",62,17.7
"Hello from Orange. For 1 month's free access to games, news and sport, plus 10 free texts and 20 photo messages, reply YES. Terms apply: www.orange.co.uk/ow",131,8.4
Dear :-/ why you mood off. I cant drive so i brother to drive,48,8.3
"Aight, can you text me the address?",29,6.9
"Cool, I'll text you when I'm on the way",31,9.700000000000001
Jay's getting really impatient and belligerent,41,2.4
"If you can make it any time tonight or whenever you can it's cool, just text me whenever you're around",83,3.5999999999999996
Where is it. Is there any opening for mca.,34,5.8999999999999995
In fact when do you leave? I think addie goes back to school tues or wed,57,1.7999999999999998
It just seems like weird timing that the night that all you and g want is for me to come smoke is the same day as when a shitstorm is attributed to me always coming over and making everyone smoke,156,0.0
PRIVATE! Your 2004 Account Statement for 07742676969 shows 786 unredeemed Bonus Points. To claim call 08719180248 Identifier Code: 45239 Expires,125,2.4
As if i wasn't having enough trouble sleeping.,39,5.1
Ok lor...,8,37.5
I'm coming home 4 dinner.,21,9.5
+449071512431 URGENT! This is the 2nd attempt to contact U!U have WON £1250 CALL 09071512433 b4 050703 T&CsBCM4235WC1N3XX. callcost 150ppm mobilesvary. max£7. 50,139,5.0
cThen i thk shd b enuff.. Still got conclusion n contents pg n references.. I'll b doing da contents pg n cover pg..,94,7.3999999999999995
Oh great. I.ll disturb him more so that we can talk.,42,7.1
"Hiya, sorry didn't hav signal. I haven't seen or heard from and neither has, which is unusual in itself! I'll put on the case and get him to sort it out! Hugs and snogs.",136,6.6000000000000005
His frens go then he in lor. Not alone wif my mum n sis lor.,46,4.3
I wnt to buy a BMW car urgently..its vry urgent.but hv a shortage of  &lt;#&gt; Lacs.there is no source to arng dis amt. &lt;#&gt; lacs..thats my prob,123,13.8
Shall i come to get pickle,21,0.0
Its a valentine game. . . Send dis msg to all ur friends. .. If 5 answers r d same then someone really loves u. Ques- which colour suits me the best?rply me,124,7.3
I'm stuck in da middle of da row on da right hand side of da lt... ,51,7.8
CERI U REBEL! SWEET DREAMZ ME LITTLE BUDDY!! C YA 2MORO! WHO NEEDS BLOKES,60,6.7
Y she dun believe leh? I tot i told her it's true already. I thk she muz c us tog then she believe.,77,5.2
Lmao but its so fun...,18,16.7
We confirm eating at esplanade?,27,3.6999999999999997
Have you had a good day? Mine was really busy are you up to much tomorrow night?,64,3.1
"Yeah, we got one lined up for us",25,4.0
cud u tell ppl im gona b a bit l8 cos 2 buses hav gon past cos they were full & im still waitin 4 1. Pete x,80,2.5
Your gonna be the death if me. I'm gonna leave a note that says its all robs fault. Avenge me.,75,5.3
Ok no problem... Yup i'm going to sch at 4 if i rem correctly...,51,13.700000000000001
Yeah I don't see why not,19,5.3
What makes you most happy?,22,4.5
T-Mobile customer you may now claim your FREE CAMERA PHONE upgrade & a pay & go sim card for your loyalty. Call on 0845 021 3680.Offer ends 28thFeb.T&C's apply,131,6.1
Kallis is ready for bat in 2nd innings,31,0.0
There generally isn't one. It's an uncountable noun - u in the dictionary. pieces of research?,79,7.6
"Someone has contacted our dating service and entered your phone becausethey fancy you! To find out who it is call from a landline 09058098002. PoBox1, W14RG 150p",135,2.1999999999999997
"When I was born, GOD said, ""Oh No! Another IDIOT"". When you were born, GOD said, ""OH No! COMPETITION"". Who knew, one day these two will become FREINDS FOREVER!",131,10.7
K k pa Had your lunch aha.,20,5.0
S:)s.nervous  &lt;#&gt; :),23,43.5
HMM yeah if your not too grooved out! And im looking forward to my pound special :),67,4.5
I cant pick the phone right now. Pls send a message,41,2.4
For many things its an antibiotic and it can be used for chest abdomen and gynae infections even bone infections.,94,1.0999999999999999
Okay lor... Wah... like that def they wont let us go... Haha... What did they say in the terms and conditions?,90,14.399999999999999
"Ugh y can't u just apologize, admit u were wrong and ask me to take u back?",59,5.1
"WIN: We have a winner! Mr. T. Foley won an iPod! More exciting prizes soon, so keep an eye on ur mobile or visit www.win-82050.co.uk",108,9.3
She told to hr that he want posting in chennai:)because i'm working here:),62,8.1
Good Morning my Dear........... Have a great &amp; successful day.,57,24.6
"I guess that's why you re worried. You must know that there's a way the body repairs itself. And i'm quite sure you shouldn't worry. We'll take it slow. First the tests, they will guide when your ovulation is then just relax. Nothing you've said is a reason to worry but i.ll keep on followin you up.",244,5.7
"Good afternoon on this glorious anniversary day, my sweet J !! I hope this finds you happy and content, my Prey. I think of you and send a teasing kiss from across the sea coaxing images of fond souveniers ... You Cougar-Pen",183,4.9
Mm i am on the way to railway,22,0.0
"When you just put in the + sign, choose my number and the pin will show. Right?",63,6.3
You tell what happen dont behave like this to me. Ok no need to say,53,1.9
"Urgent! call 09061749602 from Landline. Your complimentary 4* Tenerife Holiday or £10,000 cash await collection SAE T&Cs BOX 528 HP20 1YF 150ppm 18+",126,4.8
How are you holding up?,19,5.3
Can ü send me a copy of da report?,26,3.8
Do u knw dis no. &lt;#&gt; ?,22,31.8
"If you're still up, maybe leave the credit card so I can get gas when I get back like he told me to",77,2.6
Orh i tot u say she now still dun believe.,33,3.0
Lol I have to take it. member how I said my aunt flow didn't visit for 6 months? It's cause I developed ovarian cysts. Bc is the only way to shrink them.,122,4.9
He's an adult and would learn from the experience. There's no real danger. I just dont like peeps using drugs they dont need. But no comment,115,4.3
"Hi Jon, Pete here, Ive bin 2 Spain recently & hav sum dinero left, Bill said u or ur rents mayb interested in it, I hav 12,000pes, so around £48, tb, James.",126,7.9
Nice.nice.how is it working?,25,12.0
Saw Guys and Dolls last night with Patrick Swayze it was great,51,0.0
"No, its true..k,Do u knw dis no. &lt;#&gt; ?",36,30.599999999999998
Gam gone after outstanding innings.,31,3.2
"Okay, good, no problem, and thanx!",29,13.8
"Huh... Hyde park not in mel ah, opps, got confused... Anyway, if tt's e best choice den we juz have to take it...",91,14.299999999999999
I keep ten rs in my shelf:) buy two egg.,31,9.700000000000001
Ugh I don't wanna get out of bed. It's so warm.,37,10.8
Can u look 4 me in da lib i got stuff havent finish yet.,43,2.3
"Si.como no?!listened2the plaid album-quite gd&the new air1 which is hilarious-also boughtbraindancea comp.ofstuff on aphexs ;abel,u hav2hear it!c u sn xxxx",139,7.199999999999999
Havent stuck at orchard in my dad's car. Going 4 dinner now. U leh? So r they free tonight?,73,6.800000000000001
Haha... dont be angry with yourself... Take it as a practice for the real thing. =) ,68,13.200000000000001
Am surfing online store. For offers do you want to buy any thing.,53,3.8
I cant pick the phone right now. Pls send a message,41,2.4
Anything...,11,27.3
"Sorry, I'll call later in meeting",28,7.1
Kind of. Took it to garage. Centre part of exhaust needs replacing. Part ordered n taking it to be fixed tomo morning.,97,4.1000000000000005
Huh so fast... Dat means u havent finished painting?,44,9.1
my ex-wife was not able to have kids. Do you want kids one day?,50,6.0
Yes princess! I want to make you happy...,34,11.799999999999999
Hmm...Bad news...Hype park plaza $700 studio taken...Only left 2 bedrm-$900...,69,21.7
